"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 11:21:44 EEST 2022","Wed Aug 10 11:21:45 EEST 2022","676","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them using wait commands","Get the text of all menu items & assert them using wait commands",""
"passed","Wed Aug 10 11:21:35 EEST 2022","Wed Aug 10 11:21:45 EEST 2022","9356","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them","Get the text of all menu items & assert them",""
"passed","Wed Aug 10 11:21:38 EEST 2022","Wed Aug 10 11:21:44 EEST 2022","6509","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them","Get the text of all menu items & assert them",""
"passed","Wed Aug 10 12:19:08 EEST 2022","Wed Aug 10 12:19:19 EEST 2022","11208","","Contact Menu","","Contact Menu","Fill all the input field and submit Contact form","Fill all the input field and submit Contact form",""
"passed","Wed Aug 10 11:21:42 EEST 2022","Wed Aug 10 11:21:48 EEST 2022","5625","","Home","","Home","Open About Page & assert URL ","Open About Page & assert URL ",""
"passed","Wed Aug 10 11:21:50 EEST 2022","Wed Aug 10 11:21:51 EEST 2022","1686","","Home","","Home","Open Main Page & assert heading text","Open Main Page & assert heading text",""
"passed","Wed Aug 10 11:21:48 EEST 2022","Wed Aug 10 11:21:48 EEST 2022","513","","Home","","Home","Open Home Page & Click Get Started button & assert URL have get-started text","Open Home Page & Click Get Started button & assert URL have get-started text",""
"passed","Tue Aug 09 16:13:07 EEST 2022","Tue Aug 09 16:13:12 EEST 2022","4823","","Blog","","Blog","Get the list of all Recent Post & check length item >10 & total rows = 4","Get the list of all Recent Post & check length item >10 & total rows = 4",""
"passed","Wed Aug 10 11:21:48 EEST 2022","Wed Aug 10 11:21:49 EEST 2022","721","","Home","","Home","Open Home Page & Click Get Started button & assert URL have get-started text","Open Home Page & Click Get Started button & assert URL have get-started text",""
"passed","Wed Aug 10 11:21:49 EEST 2022","Wed Aug 10 11:21:50 EEST 2022","849","","Home","","Home","Open Main Logo & assert URL have not get-started text","Open Main Logo & assert URL have not get-started text",""
"passed","Wed Aug 10 11:21:48 EEST 2022","Wed Aug 10 11:21:49 EEST 2022","730","","Home","","Home","Open Main Logo & assert URL have not get-started text","Open Main Logo & assert URL have not get-started text",""
"passed","Wed Aug 10 11:21:38 EEST 2022","Wed Aug 10 11:21:44 EEST 2022","6405","","Home","","Home","Open URL & assert title","Open URL & assert title",""
"failed","Wed Aug 10 11:30:44 EEST 2022","Wed Aug 10 11:31:05 EEST 2022","21006","","Contact Menu","","Contact Menu","Fill all the input field and submit Contact form","Fill all the input field and submit Contact form",""
"passed","Wed Aug 10 11:21:44 EEST 2022","Wed Aug 10 11:21:48 EEST 2022","3836","","Home","","Home","Open About Page & assert URL ","Open About Page & assert URL ",""
"passed","Tue Aug 09 16:13:09 EEST 2022","Tue Aug 09 16:13:14 EEST 2022","4790","","Blog","","Blog","Get the list of all Recent Post & check length item >10 & total rows = 4","Get the list of all Recent Post & check length item >10 & total rows = 4",""
"passed","Wed Aug 10 11:21:35 EEST 2022","Wed Aug 10 11:21:42 EEST 2022","7269","","Home","","Home","Open URL & assert title","Open URL & assert title",""
"passed","Wed Aug 10 11:21:49 EEST 2022","Wed Aug 10 11:21:50 EEST 2022","474","","Home","","Home","Open Main Page & assert heading text","Open Main Page & assert heading text",""
"passed","Wed Aug 10 12:19:06 EEST 2022","Wed Aug 10 12:19:20 EEST 2022","13966","","Contact Menu","","Contact Menu","Fill all the input field and submit Contact form","Fill all the input field and submit Contact form",""
"passed","Wed Aug 10 11:21:45 EEST 2022","Wed Aug 10 11:21:47 EEST 2022","2433","","Navigation Menu","","Navigation Menu","Get the text of all menu items & assert them using wait commands","Get the text of all menu items & assert them using wait commands",""
"failed","Wed Aug 10 11:30:46 EEST 2022","Wed Aug 10 11:31:06 EEST 2022","20025","","Contact Menu","","Contact Menu","Fill all the input field and submit Contact form","Fill all the input field and submit Contact form",""
